decode,encode
2,[이름]을 찾아줘
2,[이름]좀 알려주라
2,[이름]정보 아니
2,[이름]알고있어
2,[이름]전화번호 알아
2,[이름]연락처 알아
2,[이름]연락처 알고있니
2,[이름]연락하고 싶어
2,[이름]연락 하고 싶어
2,[이름]검색해줘
2,[이름]검색
2,[이름][직급]을 찾아줘
2,[이름][직급]좀 알려주라
2,[이름][직급]정보 아니
2,[이름][직급]알고있어
2,[이름][직급]전화번호 알아
2,[이름][직급]연락처 알아
2,[이름][직급]연락처 알고있니
2,[이름][직급]연락하고 싶어
2,[이름][직급]연락 하고 싶어
2,[이름][직급]검색해줘
2,[이름][직급]검색
3,[업무] 담당자가 누구지
3,[업무] 담당자 검색
3,[업무] 담당자 검색해줘
3,[업무] 담당자 조회
3,[업무] 담당자 조회해줘
3,[업무]는 누가 하고 있지?
3,[업무]하는 사람 알고 있어?
3,[업무] 찾아줘
3,[업무]는 하지?
4,[이름]의 [날짜] [근태코드] 어디있지
4,[날짜] [이름] [근태코드]가 알아
4,[날짜] [이름] [근태코드]가 인가
4,[근태코드] [날짜] [이름] 가 인가
4,[근태코드] [이름] [날짜]가 인가
4,[날짜] [근태코드] [이름] 가 인가
4,[날짜] [근태코드] [이름] 가 인가
4,[날짜] [이름]의 [근태코드] 알아
5,AI 과제원은 누구지?
5,인공지능 동아리는 누가있지?
5,AI 동아리는 누구지?
5,인공지는 하는 사람 누가있지?
6,[이름]의 [직급]을 찾아줘
6,[이름]의 [직급]좀 알려주라
6,[이름]의 [직급]정보 아니
6,[이름]의 [직급]알고있어
6,[이름]의 [직급]전화번호 알아
6,[이름]의 [직급]연락처 알아
6,[이름]의 [직급]연락처 알고있니
6,[이름]의 [직급]연락하고 싶어
6,[이름]의 [직급]연락 하고 싶어
6,[이름]의 [직급]검색해줘
6,[이름]의 [직급]검색